timestamp (seconds since 01/01/1970), system, entity , value (m)
1652101026.925442, lauv-thor, 62, 0.199052
1652101026.927016, lauv-thor, 62, 0.199052
1652101027.126457, lauv-thor, 62, 0.183207
1652101027.128215, lauv-thor, 62, 0.183207
1652101027.327017, lauv-thor, 62, 0.184197
1652101027.328751, lauv-thor, 62, 0.184197
1652101027.384961, lauv-thor, 73, 0.198969
1652101027.526137, lauv-thor, 62, 0.180236
1652101027.527712, lauv-thor, 62, 0.180236
1652101027.724844, lauv-thor, 62, 0.180236
1652101027.726745, lauv-thor, 62, 0.180236
1652101027.926087, lauv-thor, 62, 0.188159
1652101027.927800, lauv-thor, 62, 0.188159
1652101028.127910, lauv-thor, 62, 0.187168
1652101028.129755, lauv-thor, 62, 0.187168
1652101028.327904, lauv-thor, 62, 0.180236
1652101028.329633, lauv-thor, 62, 0.180236
1652101028.386068, lauv-thor, 73, 0.198969
1652101028.528969, lauv-thor, 62, 0.176275
1652101028.530746, lauv-thor, 62, 0.176275
1652101028.728950, lauv-thor, 62, 0.180236
1652101028.730471, lauv-thor, 62, 0.180236
1652101028.927757, lauv-thor, 62, 0.191130
1652101028.929721, lauv-thor, 62, 0.191130
1652101029.127615, lauv-thor, 62, 0.182217
1652101029.129126, lauv-thor, 62, 0.182217
1652101029.329300, lauv-thor, 62, 0.179246
1652101029.330991, lauv-thor, 62, 0.179246
1652101029.385727, lauv-thor, 73, 0.179072
1652101029.527076, lauv-thor, 62, 0.177265
1652101029.528856, lauv-thor, 62, 0.177265
1652101029.726657, lauv-thor, 62, 0.173304
1652101029.728493, lauv-thor, 62, 0.173304
1652101029.929964, lauv-thor, 62, 0.178256
1652101029.931848, lauv-thor, 62, 0.178256
1652101030.126626, lauv-thor, 62, 0.182217
1652101030.128275, lauv-thor, 62, 0.182217
1652101030.327002, lauv-thor, 62, 0.190139
1652101030.328782, lauv-thor, 62, 0.190139
1652101030.386445, lauv-thor, 73, 0.228814
1652101030.528796, lauv-thor, 62, 0.203013
1652101030.530546, lauv-thor, 62, 0.203013
1652101030.728716, lauv-thor, 62, 0.198062
1652101030.730369, lauv-thor, 62, 0.198062
1652101030.925690, lauv-thor, 62, 0.214897
1652101030.927172, lauv-thor, 62, 0.214897
1652101031.125824, lauv-thor, 62, 0.200042
1652101031.127493, lauv-thor, 62, 0.200042
1652101031.328401, lauv-thor, 62, 0.192120
1652101031.330057, lauv-thor, 62, 0.192120
1652101031.387475, lauv-thor, 73, 0.208917
1652101031.526852, lauv-thor, 62, 0.185188
1652101031.528672, lauv-thor, 62, 0.185188
1652101031.725959, lauv-thor, 62, 0.180236
1652101031.727669, lauv-thor, 62, 0.180236
1652101031.924654, lauv-thor, 62, 0.192120
1652101031.926216, lauv-thor, 62, 0.192120
1652101032.127390, lauv-thor, 62, 0.191130
1652101032.129155, lauv-thor, 62, 0.191130
1652101032.324525, lauv-thor, 62, 0.191130
1652101032.326276, lauv-thor, 62, 0.191130
1652101032.386165, lauv-thor, 73, 0.208917
1652101032.531444, lauv-thor, 62, 0.186178
1652101032.533139, lauv-thor, 62, 0.186178
1652101032.730752, lauv-thor, 62, 0.184197
1652101032.732414, lauv-thor, 62, 0.184197
1652101032.931051, lauv-thor, 62, 0.182217
1652101032.932768, lauv-thor, 62, 0.182217
1652101033.130817, lauv-thor, 62, 0.184197
1652101033.132484, lauv-thor, 62, 0.184197
1652101033.328268, lauv-thor, 62, 0.181226
1652101033.329941, lauv-thor, 62, 0.181226
1652101033.385632, lauv-thor, 73, 0.189021
1652101033.528650, lauv-thor, 62, 0.173304
1652101033.530324, lauv-thor, 62, 0.173304
1652101033.724718, lauv-thor, 62, 0.175285
1652101033.726358, lauv-thor, 62, 0.175285
1652101033.928963, lauv-thor, 62, 0.184197
1652101033.930761, lauv-thor, 62, 0.184197
1652101034.128554, lauv-thor, 62, 0.175285
1652101034.130198, lauv-thor, 62, 0.175285
1652101034.328665, lauv-thor, 62, 0.175285
1652101034.330210, lauv-thor, 62, 0.175285
1652101034.385936, lauv-thor, 73, 0.189021
1652101034.525802, lauv-thor, 62, 0.173304
1652101034.527420, lauv-thor, 62, 0.173304
1652101034.732135, lauv-thor, 62, 0.176275
1652101034.732547, lauv-thor, 62, 0.176275
1652101034.925509, lauv-thor, 62, 0.179246
1652101034.927299, lauv-thor, 62, 0.179246
1652101035.128171, lauv-thor, 62, 0.182217
1652101035.129842, lauv-thor, 62, 0.182217
1652101035.325466, lauv-thor, 62, 0.179246
1652101035.327266, lauv-thor, 62, 0.179246
1652101035.386007, lauv-thor, 73, 0.189021
1652101035.525073, lauv-thor, 62, 0.181226
1652101035.526926, lauv-thor, 62, 0.181226
1652101035.724724, lauv-thor, 62, 0.183207
1652101035.726308, lauv-thor, 62, 0.183207
1652101035.927054, lauv-thor, 62, 0.182217
1652101035.928801, lauv-thor, 62, 0.182217
1652101036.130218, lauv-thor, 62, 0.174294
1652101036.131923, lauv-thor, 62, 0.174294
1652101036.330985, lauv-thor, 62, 0.174294
1652101036.332962, lauv-thor, 62, 0.174294
1652101036.386782, lauv-thor, 73, 0.218866
1652101036.528530, lauv-thor, 62, 0.174294
1652101036.530327, lauv-thor, 62, 0.174294
1652101036.728219, lauv-thor, 62, 0.178256
1652101036.729868, lauv-thor, 62, 0.178256
1652101036.930966, lauv-thor, 62, 0.198062
1652101036.932838, lauv-thor, 62, 0.198062
1652101037.131433, lauv-thor, 62, 0.190139
1652101037.132995, lauv-thor, 62, 0.190139
1652101037.332314, lauv-thor, 62, 0.201033
1652101037.334028, lauv-thor, 62, 0.201033
1652101037.383837, lauv-thor, 73, 0.248711
1652101037.531189, lauv-thor, 62, 0.205984
1652101037.533080, lauv-thor, 62, 0.205984
1652101037.728464, lauv-thor, 62, 0.206974
1652101037.730275, lauv-thor, 62, 0.206974
1652101037.931126, lauv-thor, 62, 0.214897
1652101037.932839, lauv-thor, 62, 0.214897
1652101038.131115, lauv-thor, 62, 0.198062
1652101038.132862, lauv-thor, 62, 0.198062
1652101038.332121, lauv-thor, 62, 0.200042
1652101038.334143, lauv-thor, 62, 0.200042
1652101038.385544, lauv-thor, 73, 0.238763
1652101038.529624, lauv-thor, 62, 0.197071
1652101038.531448, lauv-thor, 62, 0.197071
1652101038.731167, lauv-thor, 62, 0.192120
1652101038.732892, lauv-thor, 62, 0.192120
1652101038.931392, lauv-thor, 62, 0.210936
1652101038.933181, lauv-thor, 62, 0.210936
1652101039.130396, lauv-thor, 62, 0.205984
1652101039.132153, lauv-thor, 62, 0.205984
1652101039.330786, lauv-thor, 62, 0.210936
1652101039.332743, lauv-thor, 62, 0.210936
1652101039.384838, lauv-thor, 73, 0.278557
1652101039.531081, lauv-thor, 62, 0.223810
1652101039.532881, lauv-thor, 62, 0.223810
1652101039.732465, lauv-thor, 62, 0.228761
1652101039.734155, lauv-thor, 62, 0.228761
1652101039.931526, lauv-thor, 62, 0.229752
1652101039.933223, lauv-thor, 62, 0.229752
1652101040.128356, lauv-thor, 62, 0.237674
1652101040.130186, lauv-thor, 62, 0.237674
1652101040.331567, lauv-thor, 62, 0.235693
1652101040.333229, lauv-thor, 62, 0.235693
1652101040.384958, lauv-thor, 73, 0.278557
1652101040.530716, lauv-thor, 62, 0.243616
1652101040.532505, lauv-thor, 62, 0.243616
1652101040.729682, lauv-thor, 62, 0.248567
1652101040.731466, lauv-thor, 62, 0.248567
1652101040.931034, lauv-thor, 62, 0.255500
1652101040.932669, lauv-thor, 62, 0.255500
1652101041.129788, lauv-thor, 62, 0.260451
1652101041.131645, lauv-thor, 62, 0.260451
1652101041.333210, lauv-thor, 62, 0.280257
1652101041.335506, lauv-thor, 62, 0.280257
1652101041.385245, lauv-thor, 73, 0.397938
1652101041.531669, lauv-thor, 62, 0.295112
1652101041.533318, lauv-thor, 62, 0.295112
1652101041.730564, lauv-thor, 62, 0.302044
1652101041.732266, lauv-thor, 62, 0.302044
1652101041.929703, lauv-thor, 62, 0.320860
1652101041.931413, lauv-thor, 62, 0.320860
1652101042.130372, lauv-thor, 62, 0.333734
1652101042.131767, lauv-thor, 62, 0.333734
1652101042.325780, lauv-thor, 62, 0.362453
1652101042.327666, lauv-thor, 62, 0.362453
1652101042.385003, lauv-thor, 73, 0.477526
1652101042.525862, lauv-thor, 62, 0.383249
1652101042.527622, lauv-thor, 62, 0.383249
1652101042.729656, lauv-thor, 62, 0.403055
1652101042.731313, lauv-thor, 62, 0.403055
1652101042.925700, lauv-thor, 62, 0.432765
1652101042.927367, lauv-thor, 62, 0.432765
1652101043.124640, lauv-thor, 62, 0.459503
1652101043.126477, lauv-thor, 62, 0.459503
1652101043.328199, lauv-thor, 62, 0.480299
1652101043.330874, lauv-thor, 62, 0.480299
1652101043.384790, lauv-thor, 73, 0.606856
1652101043.525656, lauv-thor, 62, 0.503076
1652101043.527537, lauv-thor, 62, 0.503076
1652101043.728444, lauv-thor, 62, 0.528824
1652101043.730024, lauv-thor, 62, 0.528824
1652101043.926975, lauv-thor, 62, 0.549621
1652101043.928834, lauv-thor, 62, 0.549621
1652101044.127380, lauv-thor, 62, 0.567446
1652101044.129185, lauv-thor, 62, 0.567446
1652101044.325550, lauv-thor, 62, 0.593194
1652101044.327215, lauv-thor, 62, 0.593194
1652101044.384179, lauv-thor, 73, 0.696392
1652101044.526805, lauv-thor, 62, 0.613000
1652101044.528442, lauv-thor, 62, 0.613000
1652101044.727543, lauv-thor, 62, 0.632806
