timestamp (seconds since 01/01/1970), system, entity , lat (rad), lon (rad), height (m), x (m), y (m), z (m), phi (rad), theta (rad), psi (rad), u (m/s), v (m/s), w (m/s), vx (m/s), vy (m/s), vz (m/s), p (rad/s), q (rad/s), r (rad/s), depth (m), alt (m)
1652101026.954220, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.950216, -423.781799, 5.851271, 0.064247, 0.030616, 3.110714, 0.629028, 0.042940, 0.003417, -0.627291, -0.014316, -0.013595, -0.285241, -0.024225, -0.000724, 0.136160, 30.926168
1652101027.004089, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.919035, -423.785217, 5.851271, 0.053035, 0.029340, 3.110552, 0.631384, 0.051915, 0.003417, -0.629947, -0.023159, -0.012767, -0.278963, -0.024339, -0.003375, 0.136160, 30.926168
1652101027.054070, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.952755, -423.713898, 5.790266, 0.036862, 0.027550, 3.110209, 0.630687, 0.058080, 0.003417, -0.632604, -0.031920, -0.012066, -0.265188, -0.021216, -0.004340, 0.136160, 30.926168
1652101027.104053, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.921555, -423.717255, 5.790266, 0.026574, 0.026465, 3.109900, 0.629991, 0.064245, 0.003417, -0.632118, -0.037957, -0.011732, -0.255463, -0.019515, -0.005320, 0.136160, 30.926168
1652101027.154233, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.891830, -423.720978, 5.771924, 0.011765, 0.024935, 3.109364, 0.626619, 0.070928, 0.003861, -0.631651, -0.043864, -0.011092, -0.245025, -0.016911, -0.004829, 0.117818, 30.510578
1652101027.204118, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.862036, -423.724609, 5.771924, 0.002134, 0.023954, 3.108842, 0.623246, 0.077610, 0.003861, -0.628521, -0.050365, -0.010998, -0.242591, -0.016383, -0.004731, 0.117818, 30.510578
1652101027.254011, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.832098, -423.728210, 5.771924, -0.012219, 0.022506, 3.108135, 0.619254, 0.080779, 0.003861, -0.625403, -0.056763, -0.011114, -0.240907, -0.016050, -0.002654, 0.117818, 30.510578
1652101027.303942, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.802227, -423.731812, 5.771924, -0.021660, 0.021563, 3.107618, 0.615262, 0.083947, 0.003861, -0.621545, -0.059765, -0.011242, -0.238481, -0.015571, 0.000709, 0.117818, 30.510578
1652101027.354238, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.774891, -423.735901, 5.770886, -0.035760, 0.020082, 3.107075, 0.607803, 0.087688, 0.009112, -0.617801, -0.062936, -0.006251, -0.239032, -0.016910, 0.004720, 0.116781, 29.985489
1652101027.403997, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.746799, -423.739807, 5.770886, -0.045110, 0.019021, 3.106771, 0.600345, 0.091430, 0.009112, -0.610487, -0.066796, -0.006413, -0.237431, -0.019033, 0.007694, 0.116781, 29.985489
1652101027.453911, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.718565, -423.743683, 5.770886, -0.058927, 0.017209, 3.106586, 0.594007, 0.092336, 0.009112, -0.603165, -0.070740, -0.006620, -0.232476, -0.023646, 0.013008, 0.116781, 29.985489
1652101027.503980, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.690369, -423.747559, 5.770886, -0.067911, 0.015854, 3.106697, 0.587669, 0.093242, 0.009112, -0.596851, -0.071962, -0.006592, -0.227753, -0.026975, 0.017475, 0.116781, 29.985489
1652101027.554139, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.664270, -423.749176, 5.764961, -0.081051, 0.013482, 3.107128, 0.578791, 0.091196, 0.006925, -0.590479, -0.073194, -0.008570, -0.220302, -0.034467, 0.023898, 0.110855, 29.411619
1652101027.603987, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.637596, -423.751526, 5.764961, -0.089593, 0.011620, 3.107749, 0.569913, 0.089151, 0.006925, -0.581500, -0.071815, -0.007988, -0.215668, -0.040992, 0.027864, 0.110855, 29.411619
1652101027.658412, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.608358, -423.754150, 5.764961, -0.101971, 0.008458, 3.108823, 0.563710, 0.086587, 0.006925, -0.572497, -0.070673, -0.007006, -0.207721, -0.049722, 0.034571, 0.110855, 29.411619
1652101027.704031, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.583975, -423.756317, 5.764961, -0.109960, 0.006101, 3.109862, 0.557508, 0.084023, 0.006925, -0.566155, -0.068897, -0.006058, -0.201217, -0.056346, 0.038591, 0.110855, 29.411619
1652101027.754172, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.560429, -423.755676, 5.761160, -0.121328, 0.002215, 3.111384, 0.547171, 0.077115, 0.003648, -0.559770, -0.066970, -0.007783, -0.189279, -0.064189, 0.042559, 0.107055, 28.826244
1652101027.803949, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.535889, -423.756042, 5.761160, -0.128489, -0.000531, 3.112721, 0.536834, 0.070207, 0.003648, -0.549167, -0.061119, -0.005973, -0.181250, -0.068514, 0.045025, 0.107055, 28.826244
1652101027.853976, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.511211, -423.756470, 5.761160, -0.138525, -0.004869, 3.114222, 0.529963, 0.062726, 0.003648, -0.538573, -0.055320, -0.003468, -0.167271, -0.073983, 0.044265, 0.107055, 28.826244
1652101027.904126, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.486547, -423.756897, 5.761160, -0.144624, -0.007854, 3.115267, 0.523093, 0.055245, 0.003648, -0.531454, -0.048625, -0.001268, -0.155766, -0.076666, 0.042442, 0.107055, 28.826244
1652101027.954205, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.464298, -423.754425, 5.763702, -0.152780, -0.012318, 3.116073, 0.513178, 0.043727, 0.005940, -0.524331, -0.042140, 0.003907, -0.136014, -0.076541, 0.035927, 0.109596, 28.236427
1652101028.004187, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.441320, -423.752930, 5.763702, -0.157620, -0.015243, 3.116339, 0.503263, 0.032210, 0.005940, -0.514084, -0.031147, 0.006824, -0.125352, -0.075353, 0.029974, 0.109596, 28.236427
1652101028.054031, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.406448, -423.573395, 5.637694, -0.163499, -0.019486, 3.116096, 0.496135, 0.023407, 0.005940, -0.503827, -0.019909, 0.010423, -0.095092, -0.072153, 0.019926, 0.109596, 28.236427
1652101028.104086, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.383347, -423.571716, 5.637694, -0.166460, -0.022166, 3.115579, 0.489006, 0.014605, 0.005940, -0.496427, -0.011159, 0.012975, -0.073026, -0.068569, 0.012584, 0.109596, 28.236427
1652101028.154159, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.361423, -423.569336, 5.630741, -0.169334, -0.025891, 3.114515, 0.479995, 0.004677, 0.000012, -0.489116, -0.001156, 0.010211, -0.050717, -0.061605, 0.002111, 0.102643, 27.686743
1652101028.204083, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.339397, -423.567108, 5.630741, -0.171048, -0.028150, 3.113229, 0.470984, -0.005251, 0.000012, -0.479765, 0.008999, 0.012727, -0.044761, -0.056877, -0.006745, 0.102643, 27.686743
1652101028.254000, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.317249, -423.564850, 5.630741, -0.172770, -0.031170, 3.111414, 0.466108, -0.010835, 0.000012, -0.470357, 0.019372, 0.015593, -0.025891, -0.047148, -0.015893, 0.102643, 27.686743
1652101028.304138, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.295113, -423.562531, 5.630741, -0.173293, -0.032764, 3.109683, 0.461232, -0.016418, 0.000012, -0.465219, 0.025526, 0.017148, -0.011801, -0.037549, -0.021788, 0.102643, 27.686743
1652101028.354222, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.271967, -423.560577, 5.620114, -0.172775, -0.034378, 3.107508, 0.457538, -0.021443, -0.008194, -0.460273, 0.033287, 0.010607, 0.015009, -0.020311, -0.028883, 0.092016, 27.208067
1652101028.404159, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.249363, -423.558441, 5.620114, -0.171708, -0.034854, 3.105530, 0.453844, -0.026467, -0.008194, -0.456304, 0.039005, 0.011537, 0.028592, -0.007348, -0.033967, 0.092016, 27.208067
1652101028.453903, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.226646, -423.556274, 5.620114, -0.168951, -0.034566, 3.102948, 0.453194, -0.027455, -0.008194, -0.452298, 0.044976, 0.012060, 0.052014, 0.014103, -0.042336, 0.092016, 27.208067
1652101028.504102, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.203957, -423.554047, 5.620114, -0.166441, -0.033682, 3.100509, 0.452544, -0.028442, -0.008194, -0.451506, 0.047017, 0.011732, 0.066130, 0.028978, -0.048909, 0.092016, 27.208067
1652101028.554170, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.178223, -423.553741, 5.616685, -0.161718, -0.031356, 3.097289, 0.455382, -0.026177, -0.016726, -0.450889, 0.050784, 0.002265, 0.085009, 0.050987, -0.059028, 0.088587, 26.833717
1652101028.604108, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.153812, -423.552704, 5.616685, -0.157941, -0.029155, 3.094352, 0.458220, -0.023912, -0.016726, -0.453697, 0.049963, 0.000879, 0.099427, 0.064763, -0.065350, 0.088587, 26.833717
1652101028.653929, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.129257, -423.551575, 5.616685, -0.151040, -0.025077, 3.090759, 0.462940, -0.020521, -0.016726, -0.456479, 0.049415, -0.001444, 0.126593, 0.081507, -0.074232, 0.088587, 26.833717
1652101028.704144, lauv-thor, 49, 1.10724893, 0.18079112, 46.131001, 30.104755, -423.550385, 5.616685, -0.145822, -0.021914, 3.087668, 0.467660, -0.017130, -0.016726, -0.461228, 0.047662, -0.003420, 0.137791, 0.090672, -0.077227, 0.088587, 26.833717
