timestamp (seconds since 01/01/1970), system, entity , value (psu)
1652164968.696846, lauv-thor, 73, 20.938000
1652164969.697755, lauv-thor, 73, 20.924999
1652164970.695686, lauv-thor, 73, 20.690001
1652164971.695748, lauv-thor, 73, 20.669001
1652164972.696030, lauv-thor, 73, 20.716000
1652164973.695749, lauv-thor, 73, 20.618000
1652164974.698614, lauv-thor, 73, 20.643999
1652164975.697208, lauv-thor, 73, 20.600000
1652164976.696295, lauv-thor, 73, 20.747999
1652164977.696473, lauv-thor, 73, 20.781000
1652164978.695719, lauv-thor, 73, 20.837000
1652164979.696270, lauv-thor, 73, 20.915001
1652164980.695810, lauv-thor, 73, 20.903999
1652164981.695781, lauv-thor, 73, 20.764999
1652164982.699176, lauv-thor, 73, 20.999001
1652164983.696121, lauv-thor, 73, 21.061001
1652164984.694699, lauv-thor, 73, 21.198999
1652164985.695091, lauv-thor, 73, 22.415001
1652164986.694747, lauv-thor, 73, 22.780001
1652164987.695485, lauv-thor, 73, 23.233000
1652164988.694765, lauv-thor, 73, 23.617001
1652164989.694264, lauv-thor, 73, 23.781000
1652164990.694804, lauv-thor, 73, 23.825001
1652164991.694401, lauv-thor, 73, 23.837000
1652164992.693812, lauv-thor, 73, 23.915001
1652164993.694901, lauv-thor, 73, 23.910000
1652164994.694889, lauv-thor, 73, 23.988001
1652164995.696335, lauv-thor, 73, 23.950001
1652164996.696886, lauv-thor, 73, 23.875000
1652164997.693864, lauv-thor, 73, 23.809000
1652164998.694086, lauv-thor, 73, 23.740999
1652164999.693858, lauv-thor, 73, 23.681999
1652165000.693553, lauv-thor, 73, 23.634001
1652165001.693427, lauv-thor, 73, 23.669001
1652165002.693790, lauv-thor, 73, 23.679001
1652165003.693263, lauv-thor, 73, 23.646999
1652165004.694116, lauv-thor, 73, 23.600000
1652165005.693675, lauv-thor, 73, 23.545000
1652165006.693737, lauv-thor, 73, 23.517000
1652165007.693723, lauv-thor, 73, 23.549000
1652165008.693375, lauv-thor, 73, 23.582001
1652165009.693299, lauv-thor, 73, 23.587999
1652165010.692528, lauv-thor, 73, 23.599001
1652165011.692473, lauv-thor, 73, 23.599001
1652165012.692655, lauv-thor, 73, 23.659000
1652165013.694572, lauv-thor, 73, 23.788000
1652165014.692840, lauv-thor, 73, 23.870001
1652165015.694314, lauv-thor, 73, 23.806999
1652165016.693285, lauv-thor, 73, 23.757000
1652165017.692851, lauv-thor, 73, 23.716999
1652165018.694638, lauv-thor, 73, 23.726000
1652165019.694987, lauv-thor, 73, 23.715000
1652165020.692180, lauv-thor, 73, 23.714001
1652165021.690809, lauv-thor, 73, 23.702999
1652165022.691110, lauv-thor, 73, 23.691999
1652165023.691131, lauv-thor, 73, 23.658001
1652165024.691738, lauv-thor, 73, 23.690001
1652165025.691402, lauv-thor, 73, 23.712999
1652165026.690553, lauv-thor, 73, 23.726000
1652165027.690675, lauv-thor, 73, 23.726999
1652165028.690958, lauv-thor, 73, 23.714001
1652165029.691639, lauv-thor, 73, 23.676001
1652165030.691643, lauv-thor, 73, 23.667999
1652165031.691267, lauv-thor, 73, 23.795000
1652165032.691356, lauv-thor, 73, 23.885000
1652165033.690455, lauv-thor, 73, 23.778999
1652165034.691271, lauv-thor, 73, 23.646999
1652165035.691081, lauv-thor, 73, 23.584000
1652165036.691364, lauv-thor, 73, 23.634001
1652165037.690644, lauv-thor, 73, 23.662001
1652165038.690832, lauv-thor, 73, 23.625999
1652165039.690908, lauv-thor, 73, 23.660999
1652165040.690724, lauv-thor, 73, 23.620001
1652165041.689577, lauv-thor, 73, 23.598000
1652165042.689833, lauv-thor, 73, 23.617001
1652165043.690426, lauv-thor, 73, 23.613001
1652165044.689401, lauv-thor, 73, 23.806000
1652165045.689357, lauv-thor, 73, 23.768000
1652165046.689318, lauv-thor, 73, 23.618999
1652165047.689979, lauv-thor, 73, 23.483000
1652165048.689854, lauv-thor, 73, 23.479000
1652165049.689277, lauv-thor, 73, 23.473000
1652165050.689178, lauv-thor, 73, 23.385000
1652165051.688637, lauv-thor, 73, 23.343000
1652165052.690244, lauv-thor, 73, 23.568001
1652165053.689868, lauv-thor, 73, 23.642000
1652165054.691344, lauv-thor, 73, 23.844000
1652165055.689632, lauv-thor, 73, 24.250000
1652165056.689493, lauv-thor, 73, 24.145000
1652165057.689289, lauv-thor, 73, 23.875999
1652165058.688856, lauv-thor, 73, 24.038000
1652165059.688678, lauv-thor, 73, 23.959999
1652165060.689516, lauv-thor, 73, 24.127001
1652165061.688608, lauv-thor, 73, 24.430000
1652165062.689475, lauv-thor, 73, 24.301001
1652165063.688983, lauv-thor, 73, 23.718000
1652165064.688551, lauv-thor, 73, 23.537001
1652165065.689313, lauv-thor, 73, 23.471001
1652165066.689099, lauv-thor, 73, 23.395000
1652165067.687194, lauv-thor, 73, 23.475000
1652165068.688781, lauv-thor, 73, 24.040001
1652165069.689627, lauv-thor, 73, 23.760000
1652165070.689654, lauv-thor, 73, 23.472000
1652165071.691904, lauv-thor, 73, 23.420000
1652165072.689850, lauv-thor, 73, 23.459999
1652165073.689865, lauv-thor, 73, 23.322001
1652165074.692912, lauv-thor, 73, 23.261000
1652165075.689465, lauv-thor, 73, 23.283001
1652165076.690446, lauv-thor, 73, 23.805000
1652165077.691569, lauv-thor, 73, 24.254999
1652165078.690420, lauv-thor, 73, 24.525000
1652165079.689124, lauv-thor, 73, 24.712000
1652165080.689850, lauv-thor, 73, 24.730000
1652165081.689005, lauv-thor, 73, 24.750999
1652165082.690733, lauv-thor, 73, 24.569000
1652165083.688704, lauv-thor, 73, 24.077999
1652165084.689700, lauv-thor, 73, 24.392000
1652165085.688814, lauv-thor, 73, 24.350000
1652165086.688776, lauv-thor, 73, 24.584000
1652165087.689321, lauv-thor, 73, 24.358000
1652165088.688973, lauv-thor, 73, 24.086000
1652165089.688218, lauv-thor, 73, 23.975000
1652165090.689592, lauv-thor, 73, 23.993000
1652165091.689401, lauv-thor, 73, 24.452000
1652165092.691537, lauv-thor, 73, 24.274000
1652165093.689152, lauv-thor, 73, 24.176001
1652165094.688816, lauv-thor, 73, 23.764999
1652165095.688845, lauv-thor, 73, 23.811001
1652165096.687820, lauv-thor, 73, 24.158001
1652165097.685460, lauv-thor, 73, 24.520000
1652165098.685617, lauv-thor, 73, 24.389000
1652165099.687800, lauv-thor, 73, 23.778000
1652165100.690814, lauv-thor, 73, 23.448000
1652165101.689827, lauv-thor, 73, 23.471001
1652165102.686538, lauv-thor, 73, 23.796000
1652165103.686968, lauv-thor, 73, 23.674999
1652165104.688754, lauv-thor, 73, 23.802999
1652165105.686488, lauv-thor, 73, 24.110001
1652165106.685486, lauv-thor, 73, 24.115000
1652165107.684529, lauv-thor, 73, 23.872999
1652165108.685013, lauv-thor, 73, 24.329000
1652165109.685157, lauv-thor, 73, 24.451000
1652165110.687635, lauv-thor, 73, 24.072001
1652165111.683209, lauv-thor, 73, 23.863001
1652165112.684253, lauv-thor, 73, 23.525000
1652165113.682992, lauv-thor, 73, 23.631001
1652165114.684428, lauv-thor, 73, 23.615000
1652165115.684434, lauv-thor, 73, 23.617001
1652165116.688385, lauv-thor, 73, 23.410999
1652165117.689238, lauv-thor, 73, 23.349001
1652165118.687380, lauv-thor, 73, 23.290001
1652165119.690876, lauv-thor, 73, 23.209999
1652165120.683800, lauv-thor, 73, 23.134001
1652165121.683115, lauv-thor, 73, 23.107000
1652165122.684883, lauv-thor, 73, 23.221001
1652165123.684730, lauv-thor, 73, 23.177999
1652165124.686818, lauv-thor, 73, 23.077999
1652165125.684316, lauv-thor, 73, 23.044001
1652165126.684324, lauv-thor, 73, 23.035999
1652165127.683497, lauv-thor, 73, 23.030001
1652165128.682818, lauv-thor, 73, 23.009001
1652165129.685139, lauv-thor, 73, 23.011000
1652165130.682596, lauv-thor, 73, 23.222000
1652165131.682411, lauv-thor, 73, 23.216000
1652165132.681465, lauv-thor, 73, 23.208000
1652165133.680582, lauv-thor, 73, 23.211000
1652165134.681227, lauv-thor, 73, 23.209000
1652165135.680486, lauv-thor, 73, 23.205999
1652165136.681499, lauv-thor, 73, 23.156000
1652165137.681420, lauv-thor, 73, 23.129999
1652165138.680498, lauv-thor, 73, 23.091000
1652165139.681272, lauv-thor, 73, 23.056999
1652165140.680393, lauv-thor, 73, 23.024000
1652165141.680533, lauv-thor, 73, 23.018000
1652165142.679909, lauv-thor, 73, 23.007000
1652165143.680312, lauv-thor, 73, 23.020000
1652165144.679522, lauv-thor, 73, 23.018000
1652165145.680084, lauv-thor, 73, 22.986000
1652165146.680097, lauv-thor, 73, 22.921000
1652165147.680643, lauv-thor, 73, 22.898001
1652165148.680259, lauv-thor, 73, 22.896999
1652165149.680425, lauv-thor, 73, 22.885000
1652165150.679266, lauv-thor, 73, 22.868000
1652165151.679223, lauv-thor, 73, 22.855000
1652165152.679496, lauv-thor, 73, 22.856001
1652165153.678915, lauv-thor, 73, 22.841999
1652165154.679324, lauv-thor, 73, 22.816000
1652165155.678941, lauv-thor, 73, 22.792999
1652165156.679633, lauv-thor, 73, 22.778000
1652165157.679112, lauv-thor, 73, 22.774000
1652165158.678523, lauv-thor, 73, 22.768000
1652165159.678638, lauv-thor, 73, 22.764000
1652165160.679082, lauv-thor, 73, 22.749001
1652165161.678495, lauv-thor, 73, 22.735001
1652165162.678777, lauv-thor, 73, 22.724001
1652165163.678138, lauv-thor, 73, 22.705000
1652165164.678249, lauv-thor, 73, 22.704000
1652165165.678457, lauv-thor, 73, 22.701000
1652165166.678888, lauv-thor, 73, 22.698000
1652165167.678806, lauv-thor, 73, 22.701000
1652165168.678815, lauv-thor, 73, 22.694000
1652165169.678615, lauv-thor, 73, 22.677000
1652165170.678605, lauv-thor, 73, 22.674000
1652165171.678401, lauv-thor, 73, 22.649000
1652165172.677531, lauv-thor, 73, 22.658001
1652165173.677697, lauv-thor, 73, 22.658001
1652165174.677706, lauv-thor, 73, 22.655001
1652165175.677813, lauv-thor, 73, 22.632999
1652165176.677633, lauv-thor, 73, 22.627001
1652165177.677377, lauv-thor, 73, 22.632999
1652165178.677609, lauv-thor, 73, 22.639999
1652165179.679822, lauv-thor, 73, 22.621000
1652165180.677883, lauv-thor, 73, 22.636999
