timestamp (seconds since 01/01/1970), system, entity , value (µg/l)
1652164968.694001, lauv-thor, 73, 1.990000
1652164969.695099, lauv-thor, 73, 1.970000
1652164970.693838, lauv-thor, 73, 2.080000
1652164971.694111, lauv-thor, 73, 2.040000
1652164972.693764, lauv-thor, 73, 2.040000
1652164973.693688, lauv-thor, 73, 2.050000
1652164974.696215, lauv-thor, 73, 1.910000
1652164975.695485, lauv-thor, 73, 2.020000
1652164976.694010, lauv-thor, 73, 1.930000
1652164977.694593, lauv-thor, 73, 1.660000
1652164978.693939, lauv-thor, 73, 1.780000
1652164979.694222, lauv-thor, 73, 1.550000
1652164980.692884, lauv-thor, 73, 1.490000
1652164981.692984, lauv-thor, 73, 1.620000
1652164982.696490, lauv-thor, 73, 1.560000
1652164983.694308, lauv-thor, 73, 1.580000
1652164984.693135, lauv-thor, 73, 1.590000
1652164985.693362, lauv-thor, 73, 1.690000
1652164986.693245, lauv-thor, 73, 1.810000
1652164987.693389, lauv-thor, 73, 1.910000
1652164988.693252, lauv-thor, 73, 2.360000
1652164989.692850, lauv-thor, 73, 2.530000
1652164990.693197, lauv-thor, 73, 2.650000
1652164991.691954, lauv-thor, 73, 2.650000
1652164992.691856, lauv-thor, 73, 2.630000
1652164993.693318, lauv-thor, 73, 2.660000
1652164994.692829, lauv-thor, 73, 2.750000
1652164995.692933, lauv-thor, 73, 2.830000
1652164996.694247, lauv-thor, 73, 2.870000
1652164997.692431, lauv-thor, 73, 2.860000
1652164998.692607, lauv-thor, 73, 2.820000
1652164999.692460, lauv-thor, 73, 2.740000
1652165000.690972, lauv-thor, 73, 2.770000
1652165001.690913, lauv-thor, 73, 2.820000
1652165002.692339, lauv-thor, 73, 2.920000
1652165003.690824, lauv-thor, 73, 2.820000
1652165004.692271, lauv-thor, 73, 2.620000
1652165005.692217, lauv-thor, 73, 2.440000
1652165006.692280, lauv-thor, 73, 2.350000
1652165007.691803, lauv-thor, 73, 2.400000
1652165008.691399, lauv-thor, 73, 2.500000
1652165009.691442, lauv-thor, 73, 2.540000
