,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
Replicate_0,4.307116690502996,4.259209734826278,4.193435030984867,4.113465986747547,4.034577700738086,3.939695373819234,3.8522423501382708,3.7664184665097995,3.6835500921598836,3.595786615332212,3.5204983009876667,3.455904441832087,3.39003518426356,3.341565098216348,3.2841687113226765,3.2119683906690004,3.1274968773477423,3.0631989570294254,3.0132325656795014,2.978965650329335
Replicate_1,4.307116690502996,4.253774649435604,4.189834896991276,4.117158825510176,4.04056778038776,3.945890504145238,3.869143010582107,3.7818075020485353,3.6824077092596625,3.593355525386525,3.513727431260745,3.4398080592317477,3.372366276317848,3.315270823248234,3.2729303841924766,3.239290151343005,3.192740749774734,3.1374209674972793,3.085640935936474,3.0249936140688534
Replicate_2,4.307116690502996,4.253774649435604,4.18472340320843,4.1084475179832625,4.024101949158064,3.9420860849399837,3.8578481261050186,3.7632288542065924,3.6756824882636856,3.5925018839094025,3.5199617628352273,3.455000906011997,3.4031835508046813,3.3344439234039887,3.269393181261731,3.235579881491862,3.204521393969175,3.1607331409145125,3.102276042073759,3.036941475726991
Replicate_3,4.307116690502996,4.265393730077726,4.210541665149217,4.146216003596855,4.1071648962558385,4.0556237547619,3.9913922821687526,3.9377215044292013,3.874735367094835,3.8035413275199397,3.724470105864953,3.6683589563005636,3.603206812229712,3.5124398966392993,3.4263764834351393,3.353601146248095,3.2892848211857126,3.2372617450475376,3.2017486295135518,3.1541009743031068
Replicate_4,4.307116690502996,4.253774649435604,4.189834896991276,4.116789388239259,4.033315137592399,3.954190822344567,3.8607666186059078,3.770278854357906,3.6911131821832233,3.6101491024245793,3.520915194461283,3.4415035136408547,3.3707153763501756,3.311903070777438,3.2448448700492474,3.176280684410169,3.1153574849076793,3.0596271418261285,3.0191415805368784,2.9960523196034194
Replicate_5,4.307116690502996,4.253774649435604,4.18472340320843,4.1084475179832625,4.028056089457936,3.9434737098535964,3.8574874349757406,3.7781964948673856,3.693180444915463,3.605076237788653,3.5174087970912216,3.450228864413819,3.401741414384727,3.356556951301305,3.2958647846733458,3.2444530462206806,3.1704628305156457,3.101983979878019,3.0392452484022554,2.985744095796386
Replicate_6,4.307116690502996,4.253774649435604,4.18472340320843,4.104081998951497,4.022002917347054,3.9371701041850207,3.856894494835749,3.7784543604104686,3.68270957515477,3.5949642208088948,3.511487455395113,3.4333557842765035,3.3770657970419835,3.3214335397780874,3.2606047650677468,3.1961612985742662,3.130034804747458,3.068400278548875,3.020382584158444,2.9905438892563443
Replicate_7,4.307116690502996,4.253774649435604,4.18472340320843,4.1084475179832625,4.04405061887808,3.9973742909702867,3.956567323216007,3.9043629731411436,3.846060923594139,3.8112897258519425,3.7707669884386794,3.722062684290219,3.664580936577316,3.597940982983462,3.5286667264470877,3.4513724576749163,3.377062248254083,3.2956864301092272,3.223592014297425,3.151892511641361
Replicate_8,4.307116690502996,4.253774649435604,4.18472340320843,4.1084475179832625,4.028056089457936,3.952930827848338,3.8781784848901744,3.7888322474379734,3.716106772868044,3.6250460046583237,3.5401688104047655,3.465376377897599,3.4055478706913025,3.3424571528512406,3.286459768829282,3.234373825779212,3.1802069169714295,3.144635270849704,3.1224441484188437,3.1057618177921276
Replicate_9,4.307116690502996,4.253774649435604,4.18472340320843,4.1084475179832625,4.028056089457936,3.9324214499643673,3.8466510748352847,3.7611706903353777,3.67866979414195,3.597168693169639,3.508867889867817,3.4333612699625906,3.367614357569823,3.301108260327298,3.2452156235950245,3.18998389397688,3.133438287360845,3.094677182914689,3.0435837137369894,2.981775128961112
Replicate_10,4.307116690502996,4.259209734826278,4.193435030984867,4.1196557273298104,4.054232974928112,3.998859365995755,3.9325075017301354,3.8607531855578405,3.78305481277685,3.704731042010904,3.6227205675842415,3.5377386013481997,3.4500644376256693,3.3713583956681563,3.285474500173139,3.210822315637427,3.147540598417714,3.1044135688861214,3.066273971047851,3.0205022720568686
Replicate_11,4.307116690502996,4.253774649435604,4.18472340320843,4.111612602155567,4.033318601414757,3.952772559674278,3.8673681282809786,3.7854820764546453,3.7067811809259483,3.622825398560921,3.5451816642333864,3.4585202271239126,3.3886304441749067,3.3184392596500447,3.2795876252063914,3.2433607506880735,3.201219537467747,3.158182597308325,3.1145495803364076,3.095972789974019
Replicate_12,4.307116690502996,4.265393730077726,4.196400319090846,4.1153750410524825,4.028341863145405,3.945841814777447,3.8934713105674157,3.858766639235947,3.82581339184124,3.785118893643229,3.7300327388386987,3.6681421336723163,3.6070545050642377,3.5312169615048705,3.458490209380428,3.3830363012813143,3.30516133552233,3.211309480046981,3.1354169805593846,3.06287639939396
Replicate_13,4.307116690502996,4.253774649435604,4.189834896991276,4.116789388239259,4.041115168748592,3.9797254887546227,3.909673295795671,3.82955139000023,3.764252520592482,3.7307933273473015,3.6903889763408904,3.6566338681133415,3.61778540367028,3.5734649570953136,3.5208209459552737,3.475889102368271,3.4206767589221023,3.358285922685154,3.2763330640342216,3.2006827113750416
