,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
Replicate_0,50.35503117880011,24.453450188311102,5.454778757866698,1.7962659961619418,-15.637314979596212,-42.53960247672118,-52.24930280867079,-52.33998156131506,-39.42938394879316,-24.951767297710784,-9.081036493462989,3.0210628785752682,0.5245701059528356,1.0229205283582066,0.08074886281583571,0.8307904117230458,6.377302317427301,2.076870934332004,1.5011169196516185,-20.696454422217897
Replicate_1,3.2048935559089125,3.440865111232993,3.55413283467339,2.6474164839273158,2.608407659616506,3.7879256290334187,3.8662460062937347,3.5521981711147568,4.214384921021185,4.664271351773268,4.809190875951167,2.2724828858139174,-11.433602026120006,-26.84655667672847,-29.995107259461978,-15.241387563875133,5.1014082636567055,6.170196242156271,11.277183349396891,18.14764531889962
Replicate_2,-0.5275504232371053,-18.565441060303442,-33.1371623133575,-24.46464293822265,-10.867627302389348,-4.9738732609452505,1.8507335182484257,4.756542781246299,5.543935379768613,5.61840969408273,4.510311951019644,-32.601553338979954,-80.85449039804163,-111.30607348156923,-115.72394720299098,-92.62416872890302,-59.507277334107,-21.81850099673448,5.467729173290564,13.293664650485791
Replicate_3,2.8224952654347204,3.238573015068724,3.5564165891442587,3.7197960031923927,1.027262590054299,-13.028589597195108,-17.694151744882426,-9.4197939478205,-0.5638115419695402,1.2740807612273073,-4.950900047595468,-10.433383223388493,-13.48377653363937,-12.299667143768492,-0.8886272234752322,3.131981398230705,5.15878269172842,5.353456554802315,4.467202359780724,4.749666913343416
Replicate_4,53.91369087601109,37.14076034083665,39.836229971452845,31.077107697290142,27.518855575040888,12.346578954822196,3.7608091926391407,2.312242639199005,2.4345177555934607,4.900545785583753,3.3804535943468075,-0.4437525987366069,-5.369544614349683,-13.964922979265621,-7.672802942106335,0.9866490920899622,4.697410781617446,10.0618495630391,29.621894395327853,35.22556241798961
Replicate_5,17.129078469679648,5.460143930765072,3.5804979225047515,3.717292681538083,3.248621775666851,3.701512616101369,2.321554753314077,3.988042381192931,4.047755900412847,0.8890767481186566,-1.748670221647125,-2.683235492681368,-0.5947308264406741,3.6306719330650394,4.794205146717708,4.631598787397956,5.373604142931601,5.941348871429392,5.4106022813126105,5.760594638892908
Replicate_6,3.223850381195666,3.276477640821176,-1.6487587564339914,-22.50648265593189,-49.80383775988945,-66.4770777184367,-69.97272639921268,-79.41146224082203,-89.59167214135717,-86.24645750634247,-69.95758493354592,-48.36320851382749,-25.929380346569207,-17.834588350478224,-3.944713036889615,5.320415096119113,7.930313683167411,6.455890475129836,6.03604032175639,4.867864633423939
Replicate_7,3.1996360301413063,2.7807098895473947,1.4192275727949586,-3.7955927597023416,-14.218938131388565,-27.263989595137026,-26.80349008022833,-16.205928199050312,-14.40130731986073,-14.243206084926438,-6.491103183671082,-12.034726886493676,-16.465817063725723,-23.276426778084158,-23.041565254063585,-33.80704003642745,-17.132973466350325,4.743928438977919,8.535217973924045,9.809830703072523
Replicate_8,43.820423689487484,32.547811465042656,24.11647109496581,25.352381455014417,22.125834026420463,13.40974633029347,4.878427716954055,3.983454938637042,2.3578618983115085,-0.023336226605761068,-7.477132309566406,-11.31930264518769,-17.258417288735377,-25.105650598572712,-25.543946276820783,-18.43018799018489,1.6101341369689934,7.686893718451072,21.07788081263968,30.445455274392426
Replicate_9,10.480740517067606,3.718803421752688,2.7201947769443886,-4.4769619053367595,-11.243461625946377,-32.6315383625091,-65.18610247282311,-101.35065729163595,-107.00311019115256,-89.46613188873113,-64.18254917502537,-38.09712606319148,-13.418191101789517,1.2776570808016607,4.979303823681956,7.9749476439417855,8.382827522021524,13.730855371355943,15.114646510232523,11.790909968359738
