,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
Replicate_0,20.66578991506858,19.967503586875882,19.56900111774945,19.34901334615961,19.33515717990877,19.456037545531878,19.692828402619494,19.872580642588584,19.944172841228205,19.825099480520585,19.584175290775352,19.255721230195572,18.83557878637185,18.470244570259123,18.10929722127651,17.821067055607077,17.601740353491056,17.36219485844692,17.165241834344545,16.97711367236038
Replicate_1,20.66578991506858,20.503104963827255,20.27516992182047,20.00795396919862,19.82581507195562,19.51682355549178,19.01749708442817,18.463022495360914,17.93913953275204,17.413325904020002,16.88379138941607,16.25657020777226,15.73013513786373,15.361061718983988,15.113087677760111,14.926576472637773,14.763002005638787,14.606314931444315,14.503912700397533,14.419412046876007
Replicate_2,20.66578991506858,20.826559979500598,21.13165768912598,21.464894582945746,21.502205205546844,21.153305236467098,20.597452979386862,19.839534449634964,18.980647359503745,18.141843067865082,17.479967289679543,16.944834937626396,16.79951073712645,16.872006094451542,17.043384986140097,17.212295961056242,17.495854105592226,17.746005215758387,17.81732466423811,17.646844859226594
Replicate_3,20.66578991506858,20.68449701210384,20.55538523778491,20.25973716095946,19.888398721194932,19.62038032385035,19.49304961642363,19.31246721746207,18.952718513292073,18.4563420467621,18.005669516936084,17.547990247506014,17.072320705755036,16.608676535532453,16.187726984217374,15.788181334923312,15.531238292133967,15.428156624742423,15.42558592996753,15.48005563740038
Replicate_4,20.66578991506858,19.947014537762612,19.476910892206238,18.974572394931023,18.46236790573998,17.878012207377886,17.34678518363873,16.962016521546524,16.63007319807723,16.26205090836344,15.717261343253988,15.154687938456485,14.659626650519794,14.199413049524324,13.853119428314253,13.514632729455174,13.233004899998617,13.087128894942358,12.971062345045775,12.863663078889113
Replicate_5,20.66578991506858,20.196354629372482,19.93976428114534,19.746675088498527,19.490360130436365,19.212721102011233,18.77862916514814,18.356542552706067,17.797154954549093,17.28827550770197,16.993674670519468,16.580423567943534,16.072228121218593,15.510972134457367,14.938994206701668,14.48432498496034,14.24476805686078,14.129764418517098,14.086587875990311,14.118906917907937
Replicate_6,20.66578991506858,20.496308191286797,20.41114693734751,20.424287530871577,20.592953421060876,20.912852442327395,21.262037731652207,21.499986607651795,21.79400214992819,22.2597460056857,22.78582064819271,23.227993773623627,23.53097643213895,23.67896474682192,23.949046744262333,24.099671564693043,24.105096202597885,24.10764223718716,24.21928562861266,24.327382324178703
Replicate_7,20.66578991506858,20.576480270342685,20.526240086654486,20.432935730333472,20.33850260388319,20.26141216884722,20.206979141007444,20.025544832121142,19.64980900700948,19.297819763386737,19.060687962518305,18.821189296820307,18.524202850699723,18.202912696842816,17.93296756839432,17.69870046117859,17.60712517252098,17.494987372308938,17.342533722540068,17.226849496443695
Replicate_8,20.66578991506858,20.00600624639815,19.543966722055636,19.11840606022255,18.606872718421133,18.027175225265314,17.44392235537399,16.973967040534937,16.50567951448011,16.18250006227099,15.973393361414274,15.714456649672634,15.333946293227518,14.934117311517248,14.605203661653944,14.344475438219076,14.166844141303716,14.017382094554957,13.865663342974477,13.734765987237877
Replicate_9,20.66578991506858,20.27049288946416,20.069098743898675,20.020119054224732,20.02264308929328,19.96591651563621,20.018561804570577,20.322190252221983,21.00748872871253,21.754965603845864,22.30201711860293,22.58882049097578,22.650900109671838,22.509175181833463,22.286837929572158,22.205545497756862,22.1639581126471,22.202221791017994,21.901477792072697,21.589324698166518
