,Iteration_0,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19
Replicate_0,20.66578991506858,20.0154837718455,19.642395313246336,19.375695650403557,19.2061755779474,19.190091757406744,19.50123748429474,19.70897995294333,19.751063490394213,19.373255468467537,18.961301991089975,18.67466370309865,18.340746511158184,18.127427161913833,18.051812241186447,18.076656873219154,18.050137545350637,18.008901660435157,18.065122453949975,18.170615156169152
Replicate_1,20.66578991506858,20.560993851489513,20.44354137013538,20.24870418149016,19.9786642087422,19.70680560777291,19.425413356295035,19.227191007576526,19.13702554800804,19.15017426702875,19.247266432901718,19.29270544761806,19.370709805889632,19.41406132885761,19.447907063470193,19.580800488337392,19.615208680226026,19.49272547484169,19.31618080956137,19.167565816924686
Replicate_2,20.66578991506858,20.890896716818524,20.959782303582458,21.18858819714349,21.43728006776202,21.322016415162413,20.957642052567298,20.692661900069186,20.46452797892837,20.397451902306734,20.459871448139978,20.47945251735878,20.411734660189815,20.26087801744883,20.06439581865812,19.8311830164336,19.624129449104803,19.270761309281205,18.893837326070688,18.641961986390385
Replicate_3,20.66578991506858,20.745976889590356,20.729188240128995,20.592861318712053,20.273216117108287,19.7636262234807,19.50853480514922,19.327149391548378,19.133879761707238,18.89706476782412,18.647164988895835,18.461838857371845,18.240878494096986,18.06531266173399,17.908061487989706,17.794375237835723,17.673146370810844,17.435306578833735,17.350541901966064,17.316063308654673
Replicate_4,20.66578991506858,19.99464190874744,19.612684005975996,19.28814301168267,18.859280105766892,18.3320715088937,17.801671439825856,17.447035420137265,17.22462132980504,17.196887122582297,17.258303851666536,17.283236231043475,17.321625115755218,17.45498758518367,17.647358777194246,17.861775389699492,17.9599119834966,17.685361067615595,16.980321799667273,16.490931269046495
Replicate_5,20.66578991506858,20.24841560518105,19.978340051582695,19.80223314917888,19.637264304763267,19.372966046812024,19.117184596150654,18.93652406729702,18.888470831272986,19.08886277278978,19.189487321289818,19.23663744126795,19.12296096082527,18.94514762152993,18.750900168375182,18.66152914009407,18.54950857741428,18.343856362050115,18.2848010884959,18.333071983021323
Replicate_6,20.66578991506858,20.554064250191555,20.433007838407068,20.36315880961556,20.35551610752995,20.69416448343593,21.329997281231616,21.76880994449949,22.26196083656797,23.24908364530034,24.297622389835688,25.095246868737487,25.930111168415554,26.43128144002276,26.633202836757945,26.81685244943679,26.863016814650326,26.570651043231415,26.07029075803523,25.94716553989151
Replicate_7,20.66578991506858,20.635811750804606,20.55800652669383,20.50722582140963,20.392466188988355,20.200593123887014,20.19114061396021,20.165721500553197,20.056784255049678,20.146461165418902,20.357630716978278,20.48149269103549,20.687005313449383,20.894445025853855,20.931076656484827,20.915090470923843,20.837754077900122,20.62298706776022,20.65210708069479,20.81871968486798
Replicate_8,20.66578991506858,20.05465515016609,19.698377076503608,19.373042034020333,19.00871371197246,18.408744126189433,17.891403722175387,17.545500177180493,17.343773253377467,17.297845674459438,17.227916864106852,17.16214420235809,16.974175335291605,16.70981733363703,16.454562487907925,16.244435921544152,16.063480121371402,15.890621073107866,15.981220849249407,16.124154808954305
Replicate_9,20.66578991506858,20.323928004324127,20.08902074481979,19.950077507573255,19.9094954307227,20.03691118594039,20.27891376385725,20.42900691414152,20.84335394671972,21.69347935289449,22.364283293731827,22.836308285933427,23.09509729518045,23.211083281517194,23.178845367762303,23.188198481787364,23.119313829242866,23.109222613311708,23.38440831477084,23.534539581747214
Replicate_10,20.66578991506858,21.724973085476407,22.455295038445723,22.926894251678416,22.87523818805233,21.84181942257117,20.873967271494738,20.265149835932856,19.719679285318918,19.374694416784017,19.281538234403804,19.19932446667542,19.22095140890589,19.31426877426388,19.390229677580216,19.379777028863565,19.31831544002117,19.153620171985732,19.17528873169983,19.07394008902855
Replicate_11,20.66578991506858,20.690373192137407,20.64237565762548,20.408791332561794,19.97563036477474,19.232857647505487,18.480406699625142,17.997471678131138,17.526708285790114,17.178021258353333,16.975448814543693,16.82268586025138,16.709033868899382,16.661220612155375,16.691474037709543,16.796027781197548,16.82601140231839,16.772555516687188,16.859389206111192,16.93381552600795
Replicate_12,20.66578991506858,20.81119714001587,20.83215629349984,20.813432801772183,20.664499314170303,20.26922102711726,20.1195613450449,20.001709222013517,19.900742516019058,19.44998808026417,19.08198227412264,18.82297522270091,18.65771271009495,18.44074485869562,18.13699860343802,17.893081391255876,17.688913629530738,17.538203065046638,17.32550175577575,17.09548086118088
Replicate_13,20.66578991506858,20.203301956880185,19.912663145616296,19.569515245954257,19.145467349967195,18.752478903754625,18.53597758136178,18.38274491456973,18.356261537858636,18.765470374679307,19.35143188574617,19.771177441078144,20.143225223388804,20.20435095579347,20.01551567180105,19.5805640596389,19.240894332204096,18.61312119479162,17.924265555323174,17.516828643092197
Replicate_14,20.66578991506858,20.43755558810596,20.257511117339916,20.059092341831434,19.743066320818684,19.293193181142176,18.863733341843382,18.574519854107734,18.40641367492258,18.446285323740145,18.40438893192475,18.355427676186192,18.24095182391854,18.03398198899266,17.787846395939066,17.598906552700942,17.426879604498307,17.154609052330304,17.013474030505098,16.850718414136473
Replicate_15,20.66578991506858,20.620875345123693,20.535044667543726,20.363801957337486,20.09550615074843,19.71418734709303,19.34774274112669,19.096530492692782,18.878072785397386,18.57049450969613,18.289895550928197,18.085404532949507,17.868556115731607,17.70219216306855,17.548612438076855,17.382664069434703,17.228350201110736,16.96902799749415,16.729463092735543,16.50255496911899
